image,label,split
./sliceguard_tmp/3f3a16e0537240a4818d466f08778c20.jfif,apple,train
./sliceguard_tmp/751a4ed268894bfb8bb68f26317d2943.jfif,apple,train
./sliceguard_tmp/0a52adb4147f42ed9aaa387bf37f3390.jfif,apple,train
./sliceguard_tmp/26068c2e263b4c41acab4620ca4658af.jfif,apple,train
./sliceguard_tmp/2bcbbaaef3024dac84ca1072a548d391.jfif,apple,train
./sliceguard_tmp/b6671b56138c41788d6282611d48eae3.jfif,apple,train
./sliceguard_tmp/4862aa798fef4e2ab172bbd40deeb61f.jfif,apple,train
./sliceguard_tmp/2e73aececc69492ca2c058c4aac495f6.jfif,apple,train
./sliceguard_tmp/a64f5d848f644c9d8cb5b2719a98658e.jfif,apple,train
./sliceguard_tmp/b8ad4fbf5d2648cbbf68c5b2ccd12617.jfif,apple,train
./sliceguard_tmp/5a115d7d6d474971bc69dbdbdc90d696.jfif,apple,train
./sliceguard_tmp/7374c3683dc8418aafdabc9b5969dbda.jfif,apple,train
./sliceguard_tmp/510304e74a834faa8e9debfb20d7d761.jfif,apple,train
./sliceguard_tmp/1217668c4e1f4e71a240433540cf3057.jfif,apple,train
./sliceguard_tmp/41417810b9ba474f93092bf531b1e318.jfif,apple,train
./sliceguard_tmp/20d46023b6ea41b98362992f38e09ac8.jfif,apple,train
./sliceguard_tmp/d5dd26841afc4d75adbbef1490833467.jfif,apple,train
./sliceguard_tmp/79cf3cab2c6842d39c6dc30af94f8cfd.jfif,apple,train
./sliceguard_tmp/df15d12a71154048b9a27be718a5a22d.jfif,apple,train
./sliceguard_tmp/e2f1c6092e834ee8bccc95e53efc740a.jfif,apple,train
./sliceguard_tmp/a24faf664bde46999e53c0f39b7d1cc3.jfif,apple,train
./sliceguard_tmp/ed6eefbc3b09422bb4a5e7c821498817.jfif,apple,train
./sliceguard_tmp/2c469f721df848019d90b27f7e597278.jfif,apple,train
./sliceguard_tmp/58454fc0f92c40b88cad3625a5eecd9b.jfif,apple,train
./sliceguard_tmp/3f06859db7b54f26b8cbea4067a95267.jfif,apple,train
./sliceguard_tmp/38c20c9a8632438ab898a5eef998b59c.jfif,apple,train
./sliceguard_tmp/2d41d93217df4b8ebacf743d17b781c6.jfif,apple,train
./sliceguard_tmp/d5c693856c4d46ad82fa92cbab27ad83.jfif,apple,train
./sliceguard_tmp/8eaecc6bc93240a58ffa28a88ded4283.jfif,apple,train
./sliceguard_tmp/d08c1d9c884945d2ad8e13e1104e58c3.jfif,apple,train
./sliceguard_tmp/954d2a3af1fb4441a2520e344ec3bd6a.jfif,apple,train
./sliceguard_tmp/b50b0fcf124b4be3842a5a3f52890394.jfif,apple,train
./sliceguard_tmp/d9cf20ce2ed94577992085172f065f88.jfif,apple,train
./sliceguard_tmp/de85b91a78314954a5d59605e093684b.jfif,apple,train
./sliceguard_tmp/7330e18e95724d82b6a75bfbadcb6abb.jfif,apple,train
./sliceguard_tmp/e75cae0b1d844baa94de52dcd51ebaa4.jfif,apple,train
./sliceguard_tmp/87955393b42c4ca9afcc6907d81e2eec.jfif,apple,train
./sliceguard_tmp/ddfbd09dc3694ddeb8c95be038c23c36.jfif,apple,train
./sliceguard_tmp/17d108955a5948fcbebecd5302b33158.jfif,apple,train
./sliceguard_tmp/b173a8b1214b4a67b477741a50899b27.jfif,apple,train
./sliceguard_tmp/3e6926bfb6744056a0ab6352be873d90.jfif,apple,train
./sliceguard_tmp/8d7bab5bfdd740a9b72b2c6213f720aa.jfif,apple,train
./sliceguard_tmp/523d3d0e41124796b791569cc5c3a70a.jfif,apple,train
./sliceguard_tmp/412cb5f1ace842c79053109960a8b4d0.jfif,apple,train
./sliceguard_tmp/2a327114dfbb4df0864e4b7e602d2d2b.jfif,apple,train
./sliceguard_tmp/4552831ca869416f8b8fb152d28b24d2.jfif,apple,train
./sliceguard_tmp/275022567b30413e82d45ad5b5461e24.jfif,apple,train
./sliceguard_tmp/6757f9c7052346269961d7dc04c37ffb.jfif,apple,train
./sliceguard_tmp/5547ae493ade4a3d9b684eb7fb7dd08e.jfif,apple,train
./sliceguard_tmp/ad7d7b5b3b79421cae4a849b6ff490b8.jfif,apple,train
./sliceguard_tmp/0208845df03b4a1ab44d658618c8ddf4.jfif,apple,train
./sliceguard_tmp/7bb63c6fdfc14c3f9f1d43aff31cd52a.jfif,apple,train
./sliceguard_tmp/a4f5199f649b4ddc803c4772295e86a0.jfif,apple,train
./sliceguard_tmp/2a20a0121beb4fadac374694a8c161dc.jfif,apple,train
./sliceguard_tmp/e8df1c7cbf374f34af0e5c4685b0bd99.jfif,apple,train
./sliceguard_tmp/c4890f71d2a54f088806260c3801d704.jfif,apple,train
./sliceguard_tmp/63bb565e654f454cb1df3d73e678a45e.jfif,apple,train
./sliceguard_tmp/75f8736316934adca099bc1c0a76cd82.jfif,apple,train
./sliceguard_tmp/e0789b9960f3491ead39d19b5ec3bad8.jfif,apple,train
./sliceguard_tmp/e434fcaa5d8a46a3ab558ba305af6f38.jfif,apple,train
./sliceguard_tmp/86db612e3457463bb4ecac8577ec1e4a.jfif,apple,train
./sliceguard_tmp/c04d9d31735245c89fc448b21fae1de5.jfif,apple,train
./sliceguard_tmp/a9612738b87b4a578adf014750e7cbd1.jfif,apple,train
./sliceguard_tmp/f40f5f77d7bb4c788f70204bd4b2d170.jfif,apple,train
./sliceguard_tmp/c929572faf0446c7a81386ccbca4260e.jfif,apple,train
./sliceguard_tmp/61685c733c444a0bab5e8c90033aa0a4.jfif,apple,train
./sliceguard_tmp/7c47e2e0ea2347bc8d46d42d8635c7d7.jfif,apple,train
./sliceguard_tmp/3c3ab2eabac741a38f0b1e4fb6cd8a3f.jfif,apple,train
./sliceguard_tmp/705961713749490596a5a02a5144b0aa.jfif,apple,train
./sliceguard_tmp/ac2d1ccbe2604e0aa9f977c7390a51ad.jfif,apple,train
./sliceguard_tmp/754f9142d93d4676a91f83ab3335a789.jfif,apple,train
./sliceguard_tmp/294bf713bab043a9809f5a8ce72fcccd.jfif,apple,train
./sliceguard_tmp/8acf2ad4481247c5bb4b6e9166a33e98.jfif,apple,train
./sliceguard_tmp/bdb1b871ece245638a08f93c5ae3ab37.jfif,apple,train
./sliceguard_tmp/5b76381ff9f54c96bff41cf7bdbb6fe4.jfif,apple,train
./sliceguard_tmp/f2093c000a394cdcb2bcc003ba997bdb.jfif,apple,train
./sliceguard_tmp/dc4852cb46e542629eb2f353a98cfcc4.jfif,apple,train
./sliceguard_tmp/fde95fb7a2c64d0e996b3fbb7c8936f4.jfif,apple,train
./sliceguard_tmp/b0fef0226b014920b02a31fc3ab7cc97.jfif,apple,train
./sliceguard_tmp/58ed89f1e77b4687aa48c2bd81c0b473.jfif,apple,train
./sliceguard_tmp/05c2d66d2a2d4ff4b00b545b7c992a34.jfif,apple,train
